layerID,head,strategy,score
12,8,special_punc_heavy_hitter,0.91015625
12,9,special_punch_window_heavy_hitter,0.96875
12,10,special_punch_window_heavy_hitter,0.98046875
12,11,special_punc_heavy_hitter,0.93359375
12,12,special_punc_heavy_hitter,0.94921875
12,13,special_punch_window_heavy_hitter,0.9765625
12,14,special_punc_heavy_hitter,0.9296875
12,15,special_punc_heavy_hitter,0.9453125
12,16,special_punc_heavy_hitter,0.9609375
12,17,special_punc_heavy_hitter,0.9375
12,18,special_punc_heavy_hitter,0.93359375
12,19,special_punch_window_heavy_hitter,0.98046875
12,20,special_punc_heavy_hitter,0.90625
12,21,special_punc_heavy_hitter,0.92578125
12,22,special_punc_heavy_hitter,0.9375
12,23,special_punc_heavy_hitter,0.94140625
12,24,special_punch_window_heavy_hitter,0.99609375
12,25,special_punc_heavy_hitter,0.91015625
12,26,special_punc_heavy_hitter,0.95703125
12,27,special_punc_heavy_hitter,0.9140625
12,28,special_punc_heavy_hitter,0.9609375
12,29,special_punc_heavy_hitter,0.953125
12,30,special_punc_heavy_hitter,0.9375
12,31,special_punc_heavy_hitter,0.92578125
13,0,special_punc_heavy_hitter,0.9296875
13,1,special_punc_heavy_hitter,0.9375
13,2,special_punc_heavy_hitter,0.93359375
13,3,special_punc_heavy_hitter,0.95703125
13,4,special_punc_heavy_hitter,0.921875
13,5,special_punch_window_heavy_hitter,0.9921875
13,6,special_punc_heavy_hitter,0.9296875
13,7,special_punc_heavy_hitter,0.9765625
13,8,special_punch_window_heavy_hitter,0.9921875
13,9,special_punch_window_heavy_hitter,0.96484375
13,10,special_punc_heavy_hitter,0.921875
13,11,special_punc_heavy_hitter,0.98046875
13,12,special_punch_window_heavy_hitter,0.9921875
13,13,special_punch_window_heavy_hitter,0.984375
13,14,special_punc_heavy_hitter,0.9375
13,15,special_punc_heavy_hitter,0.98828125
13,16,special_punc_heavy_hitter,0.91015625
13,17,special_punc_heavy_hitter,0.9609375
13,18,special_punc_heavy_hitter,0.953125
13,19,special_punc_heavy_hitter,0.9765625
13,20,special_punc_heavy_hitter,0.9609375
13,21,special_punc_heavy_hitter,0.9375
13,22,special_punch_window_heavy_hitter,0.984375
13,23,special_punc_heavy_hitter,0.9609375
13,24,special_punch_window_heavy_hitter,0.984375
13,25,special_punc_heavy_hitter,0.95703125
13,26,special_punc_heavy_hitter,0.96484375
13,27,special_punc_heavy_hitter,0.91796875
13,28,special_punc_heavy_hitter,0.953125
13,29,special_punc_heavy_hitter,0.90625
13,30,special_punc_heavy_hitter,0.9453125
13,31,special_punch_window_heavy_hitter,0.98046875
14,0,special_punch_window_heavy_hitter,0.9921875
14,1,special_punc_heavy_hitter,0.98046875
14,2,special_punc_heavy_hitter,0.9296875
